,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date,Expected US Yield,Excess Yield,Z-Spread,Excess Yield Bucket
4,URUGUAY (ORIENTAL REPUBLIC OF),Sovereign,Fixed Income,"89,750,832.03",0.58,"89,750,832.03","89,592,467.00",760942BA9,US760942BA98,BNB7S17,99.31,Uruguay,-,USD,13.73,5.15,1.0,"Jun 18, 2050",5.1,13.83,-,5.15,13.83,5.15,USD,"Jun 18, 2014","Jun 18, 2014",3.970264,1.1797360000000006,0.9711363286679274,1-2
5,POLAND (REPUBLIC OF),Sovereign,Fixed Income,"78,448,172.57",0.51,"78,448,172.57","75,375,000.00",731011AZ5,US731011AZ55,-,101.77,Poland,-,USD,14.25,5.38,1.0,"Mar 18, 2054",5.5,14.33,-,5.38,14.23,5.38,USD,"Mar 18, 2024","Mar 18, 2024",3.9894,1.3906,1.11506665902391,1-2
6,QATAR (STATE OF) RegS,Sovereign,Fixed Income,"77,893,660.23",0.5,"77,893,660.23","75,542,000.00",-,XS1807174559,BFYY518,101.47,Qatar,-,USD,13.4,5,1.0,"Apr 23, 2048",5.1,13.52,-,5,13.52,5.0,USD,"Apr 23, 2018","Apr 23, 2018",3.95812,1.04188,0.7518762445205686,1-2
7,QATAR (STATE OF) RegS,Sovereign,Fixed Income,"76,457,086.28",0.49,"76,457,086.28","76,760,000.00",-,XS1959337749,BH3JG26,97.53,Qatar,-,USD,13.77,4.99,1.0,"Mar 14, 2049",4.82,13.88,-,4.99,13.88,4.99,USD,"Mar 14, 2019","Mar 14, 2019",3.971736,1.0182640000000003,0.8794226965722339,1-2
9,OMAN SULTANATE OF (GOVERNMENT) RegS,Sovereign,Fixed Income,"66,049,508.81",0.43,"66,049,508.81","61,581,000.00",-,XS1750114396,BFWM9T0,106.66,Oman,-,USD,11.94,6.21,1.0,"Jan 17, 2048",6.75,11.99,-,6.21,11.99,6.21,USD,"Jan 17, 2018","Jan 17, 2018",3.904392,2.305608,1.6896036440971935,2-3
15,QATAR (STATE OF) RegS,Sovereign,Fixed Income,"58,468,815.47",0.38,"58,468,815.47","62,969,000.00",-,XS2155352748,-,91.35,Qatar,-,USD,14.42,5,1.0,"Apr 16, 2050",4.4,14.52,-,5,14.52,5.0,USD,"Apr 16, 2020","Apr 16, 2020",3.995656,1.0043440000000001,1.0634531437545571,1-2
18,PERU (REPUBLIC OF),Sovereign,Fixed Income,"57,478,779.53",0.37,"57,478,779.53","55,847,000.00",715638BM3,US715638BM30,B63ZT39,101.5,Peru,-,USD,13.47,5.52,1.0,"Nov 18, 2050",5.63,13.54,-,5.52,13.54,5.52,USD,"Nov 18, 2010","Nov 18, 2010",3.960696,1.5593039999999996,1.2605457108778455,1-2
19,PETRONAS CAPITAL LTD MTN RegS,Agency,Fixed Income,"57,242,805.42",0.37,"57,242,805.42","61,761,000.00",-,USY68856AV83,-,91.19,Malaysia,-,USD,14.11,5.17,1.0,"Apr 21, 2050",4.55,14.28,-,5.17,14.28,5.17,USD,"Apr 21, 2020","Apr 21, 2020",3.984248,1.185752,1.236094253650841,1-2
20,URUGUAY (ORIENTAL REPUBLIC OF),Sovereign,Fixed Income,"56,852,283.64",0.37,"56,852,283.64","58,000,971.00",760942BD3,US760942BD38,BDR8F57,96.38,Uruguay,-,USD,14.89,5.22,1.0,"Apr 20, 2055",4.97,14.9,-,5.22,14.9,5.22,USD,"Apr 20, 2018","Apr 20, 2018",4.012952,1.2070479999999995,1.1284048288881134,1-2
21,POLAND (REPUBLIC OF),Sovereign,Fixed Income,"55,894,958.01",0.36,"55,894,958.01","53,943,000.00",731011AW2,US731011AW25,-,101.56,Poland,-,USD,14.05,5.39,1.0,"Apr 04, 2053",5.5,14.16,-,5.39,14.05,5.39,USD,"Apr 04, 2023","Apr 04, 2023",3.98204,1.4079599999999997,1.1356374231757178,1-2
